status	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25	feature26	feature27	feature28	feature29	feature30	feature31	feature32	feature33	feature34	feature35	feature36	feature37	feature38	feature39	feature40	feature41	feature42	feature43	feature44	feature45	feature46	feature47	feature48	feature49	feature50	feature51	feature52	feature53	feature54	feature55	feature56	feature57	feature58	feature59	feature60	feature61	feature62	feature63	feature64	feature65	feature66	feature67	feature68	feature69	feature70	feature71	feature72	feature73	feature74	feature75	feature76	feature77	feature78	feature79	feature80	feature81	feature82	feature83	feature84	feature85	feature86	feature87	feature88	feature89	feature90	feature91	feature92	feature93	feature94	feature95	feature96	feature97	feature98	feature99	feature100
Case	 38.25	 50.116	 86.91	 18.3647	 59.89	 81.39754	 20.96	 72.200	 38.230	 31.05	 48.401	 75.469	 59.10	 28.48	 15.487	 59.5542	 78.027	 55.870	 86.26	 44.91	 88.414	 32.924	 53.084	 53.9394	 56.73	 59.6	 31.722	 93.88	 56.09	 52.90	 91.30	 79.73	 16.422	 25.42	 37.05	 85.46	 88.57	 97.90	  2.42	 27.278	 42.07	  9.29	 55.431	 56.39	 85.326	 47.97	 11.20	 82.53	 23.41	 60.69	 49.87	 14.87	 17.47	 54.46	 71.21	 95.37	 89.00	 38.16	 17.88	  9.45	 99.539	 14.57	 15.94	  1.664	 15.857	 93.2265	 77.35	 43.72	 32.10	 37.55	 52.899	 39.55	 18.08	 74.055	 66.082	 33.045	 46.04	 79.07	 68.903	 52.88	 71.32	 34.1084	 14.03	 50.2903	 50.46	 27.227	 57.32	 81.12	 90.92	 14.225	 27.328	 28.800	 38.27	 47.54	 37.486	 92.784	 86.241	 40.956	 13.16	 90.86
Case	  9.40	 34.456	 82.15	 24.2209	 61.41	 41.03837	 92.16	 23.122	 46.374	 74.63	 81.809	 91.375	 17.61	 58.67	 18.604	 15.7314	 14.112	 41.003	 85.25	 88.45	 69.400	  3.696	 18.758	 57.5375	 78.25	 23.3	  0.772	 47.13	 91.38	 71.69	 41.84	 98.93	 98.681	 23.14	 39.98	  1.15	  3.47	 98.94	  3.81	 87.647	  5.48	 91.64	 46.067	  7.69	 16.371	 31.53	 12.33	 63.00	  6.95	 96.94	 83.43	 37.01	 86.22	 82.78	 54.96	 80.32	  2.90	 55.35	 99.04	 62.67	 90.688	 85.06	 98.23	 25.982	 20.028	 94.5064	 46.17	 54.04	  8.29	 89.13	 33.021	 89.27	 17.62	 35.081	 80.071	 78.561	 30.35	 37.02	 78.531	 29.07	 40.77	 55.8190	 65.87	 70.8951	 31.92	 24.254	 38.97	  4.83	 68.33	  9.327	 36.724	 76.417	 59.53	  4.51	 50.808	 77.950	 53.091	 90.823	 22.69	 71.51
Case	  4.97	 58.290	 53.88	  6.0729	 56.32	 37.69180	 16.22	 73.260	 47.537	 74.61	 13.567	 44.090	 79.14	 65.57	 42.392	 26.0896	 67.095	  7.469	 71.96	 40.72	 70.260	 90.964	 94.907	 28.4701	 27.99	 61.1	 88.436	 48.79	 16.73	 29.06	 11.23	 94.50	 54.212	 88.95	 57.63	  0.66	 61.67	  0.94	 25.26	 79.125	 72.90	 27.71	 67.482	 34.13	 43.608	 72.98	 16.70	 32.78	 83.92	 65.70	 92.61	 68.29	 34.84	  0.86	 49.02	 41.38	 64.72	  1.00	  5.41	  4.82	 11.558	  5.79	 77.47	 87.297	 65.104	 87.6705	 94.43	 47.55	 63.77	 90.51	 34.160	 68.70	 88.59	 98.792	  2.639	 90.439	 64.20	 92.53	 60.737	  4.63	 32.53	 80.7844	 18.81	  2.9212	 86.58	 66.719	 11.30	 66.17	 59.53	 62.821	 16.301	 12.927	 10.99	 40.82	 52.486	 21.815	 69.504	 64.406	 17.26	 23.56
Case	 82.12	 52.681	 18.74	  6.6272	 45.13	  6.22325	 89.47	 61.335	  0.764	 98.93	 27.451	 95.219	 92.62	 69.89	 57.572	 73.5981	 82.176	 72.682	  8.83	 93.40	 79.419	 39.342	 25.314	 84.0915	 13.99	 93.3	 51.371	 29.10	 75.26	 85.32	 88.91	 62.00	 81.478	 45.50	 63.62	 22.77	 53.32	 97.10	 62.03	 91.697	 38.08	 88.58	 60.265	 60.52	 54.563	 38.72	 22.59	 52.54	 70.32	 49.21	  4.89	 16.00	  0.48	 80.92	 84.87	 49.89	 26.81	 37.91	 50.74	 54.32	 40.737	 66.99	 25.14	 92.546	 10.146	 63.9140	 25.76	  8.08	 44.38	 78.50	 34.808	 23.38	 35.61	 87.487	 72.979	 86.493	 60.00	 65.85	 21.779	 15.26	 51.80	 84.9631	 98.37	 71.5709	 12.16	 10.937	 10.26	 79.65	 42.05	 65.440	 14.809	 39.771	  4.60	 57.61	 76.976	 52.931	  8.474	 98.357	 98.67	  0.39
Control	 82.93	 90.700	 59.86	 20.0264	 94.83	 77.57710	 13.15	 86.061	  2.491	 71.90	 33.961	 52.305	 47.70	 61.91	 41.869	 94.9259	 74.981	 81.965	 75.67	 99.40	 77.621	 58.008	  5.166	 42.8678	 48.55	 15.0	 35.811	 34.87	 66.67	 49.20	 70.60	 13.55	 35.293	 49.86	 82.99	 42.33	 46.40	  0.72	 82.26	 12.476	 77.42	 77.29	 15.649	 36.80	 86.895	 84.71	 65.10	 64.58	 44.71	 25.38	 67.42	 62.32	 21.93	 11.34	  9.80	 51.32	 72.13	 74.11	 82.03	 69.20	 22.685	 98.79	 50.61	 98.459	 41.340	 79.9233	 39.20	 70.12	 18.80	  7.25	 79.517	 16.05	  0.98	 71.051	 63.896	 99.841	 52.83	 44.31	 34.018	 80.36	 80.44	 35.4234	 11.21	 47.2147	 46.05	 65.899	 54.94	 34.68	 76.59	  4.551	 61.267	 72.035	  5.06	 28.11	 40.888	 17.922	 94.135	 84.073	 87.86	 47.94
Case	 65.47	 97.912	 49.88	 41.0919	 54.98	 77.28186	 98.25	  0.587	 54.415	 62.84	 34.701	 40.654	 30.42	  5.58	 43.575	 39.0574	 57.150	 10.770	 58.07	 98.77	 10.252	 29.050	 75.987	  0.9915	 15.06	 11.8	 12.146	 24.84	  7.24	 31.76	 27.14	 10.21	 96.108	 32.18	 16.07	 15.73	 49.32	 83.24	 69.76	 92.266	 54.36	 79.51	 78.819	 74.21	 54.724	 49.29	 73.30	 29.37	 41.02	 65.75	 96.15	 45.56	 37.38	 90.85	 73.36	 32.02	 99.46	 57.34	 99.33	 90.01	 89.987	 70.46	 29.28	 12.110	 27.248	 91.9239	 52.47	 73.48	 36.20	 61.49	 20.984	 16.77	 50.06	 16.320	 61.924	 58.396	 21.69	 95.09	 70.334	 57.60	 89.93	  0.6344	 16.56	 68.1244	 99.79	 41.742	 55.54	 12.18	 31.96	 80.688	 23.927	 29.309	 44.61	 76.28	  1.744	 70.748	 38.713	  8.325	 59.62	 87.21
Case	 13.28	  1.467	 41.72	 78.8382	 85.21	  1.25605	 47.31	 61.382	 44.438	 38.52	 65.179	 17.743	 77.06	 46.91	 23.678	 28.6309	 49.410	 92.103	 18.35	 94.76	 43.703	 69.329	 92.544	 88.5709	 97.67	 95.5	 86.801	  1.24	 60.20	 51.25	 58.56	 31.46	 49.205	 25.13	  7.11	 66.64	 42.43	 84.31	 82.89	 35.720	 11.62	 20.57	  9.868	 23.03	 73.033	 99.69	 54.08	  1.61	 14.56	  6.09	 17.23	 17.24	 85.06	 32.77	 15.41	 78.46	 28.19	 61.84	 49.03	 24.13	  8.284	 31.35	 13.63	 50.256	 51.305	 23.8748	 88.97	 48.08	 10.51	 63.41	 41.564	 89.99	 41.66	 78.162	 41.845	 94.139	 21.66	 67.98	  4.302	 67.47	 80.94	 51.4204	  7.05	 87.6735	 24.40	  2.602	 89.96	 32.54	 72.04	 59.908	 90.928	 70.299	 27.05	 16.48	 39.122	 74.709	 55.009	 36.265	 38.54	 26.23
Case	 34.18	 74.200	 42.26	 49.6435	 21.99	 11.25812	 76.12	 71.200	 70.101	 52.55	 15.349	 68.991	 99.03	 37.27	 10.280	 85.3688	 98.820	  0.827	 14.64	  0.59	 57.904	 62.941	 17.235	 16.8721	 10.18	 81.5	 37.627	 84.87	 97.07	 70.01	 63.58	  3.25	 17.969	 81.03	  7.40	 21.79	  8.19	  5.06	 76.81	 48.699	 64.90	  4.82	 70.388	 74.13	 10.617	 56.79	  2.86	 28.21	 92.25	 74.94	 18.87	 79.85	 40.21	 51.86	 45.61	 96.40	 17.65	 30.62	 35.49	 47.68	 74.798	 57.29	 12.35	 57.803	 90.768	  8.9842	  2.94	 18.71	 64.14	 72.66	 64.958	  0.78	 53.47	 38.898	 76.019	 14.917	 13.96	 70.78	 40.586	 67.32	 43.57	 96.9099	 45.28	 51.9393	 79.35	 35.433	 20.31	 35.69	 90.79	 88.476	 77.452	 50.792	 86.49	 80.81	 26.660	 10.429	 40.869	 52.785	 83.91	 66.34
Case	 73.14	 47.746	 85.62	 27.7810	 45.06	 61.59982	 80.34	 59.478	  9.950	 13.84	 12.649	 13.854	 77.62	 10.76	 67.184	 49.4971	 32.387	  2.472	 34.51	  7.24	 89.025	 45.447	 56.876	 11.8253	 49.20	 37.8	 39.279	 12.29	 77.28	 39.86	 75.47	 90.88	 74.174	 37.15	 89.61	 96.84	 47.01	 57.72	 71.34	 11.592	 58.81	  3.88	 97.816	 84.38	 38.918	 63.23	 94.16	 95.81	 84.31	 13.20	 35.89	  3.80	 65.72	 24.65	 34.54	 51.39	 78.31	 42.74	 31.33	 46.07	 71.113	 86.20	  5.11	 64.946	 38.086	 52.0287	 76.54	 63.16	 49.02	 89.47	 59.914	 14.25	 60.66	 85.113	 79.097	 79.753	  0.64	 87.93	 22.465	 51.07	 28.95	  5.9192	 94.60	  7.7520	 98.21	 37.513	 46.03	 37.81	 39.83	 60.466	 12.655	  5.135	 34.54	  7.39	 29.568	 94.599	 97.950	 11.551	 71.25	 87.96
Control	 90.73	 89.961	  1.27	  6.9656	 15.55	 86.38621	  7.01	 35.540	 75.551	 12.72	 43.466	 18.996	 74.37	  8.24	 57.928	 54.5939	 62.162	 38.393	 66.07	  9.89	 94.854	  9.101	 66.696	 71.0182	 49.26	 25.2	 26.766	 62.13	 83.28	 14.13	 92.06	 59.82	 71.708	 39.15	 82.33	 95.33	 47.86	 58.26	 15.90	 35.812	 46.93	 28.46	 40.192	 72.00	 60.853	 59.27	 34.37	 55.23	  4.57	 10.13	 14.84	 47.76	 65.73	 81.14	 16.92	 11.28	 73.05	 41.85	 27.77	 97.71	 67.749	 98.54	 59.69	 21.513	 55.059	 74.3227	 67.09	 59.50	 21.75	 35.97	 52.706	  1.36	 63.60	 37.642	 89.757	 33.690	  0.68	 45.44	 48.466	 99.49	 67.44	  8.8590	 56.44	 67.7185	 59.22	 75.862	 24.60	 95.36	 58.20	  0.299	 90.910	 76.147	 80.30	 92.22	 76.177	 46.452	 84.352	  4.236	 38.39	 91.15
Case	 69.62	 31.212	 59.12	 17.6865	 97.65	 50.26359	 11.56	 46.948	 63.326	 37.46	 91.459	  2.014	 77.51	 34.97	 76.265	 94.0552	 46.414	 87.179	 60.59	 28.06	 23.275	 29.990	 75.920	 40.8756	 79.26	 33.5	 80.576	 19.95	 48.13	 11.60	 11.34	  8.51	  6.912	 70.28	 96.66	 70.45	 48.14	 52.53	  3.80	  1.058	 46.27	 34.88	 80.066	  9.58	 71.505	 34.72	 97.11	 58.43	 19.53	 35.58	 43.20	 93.65	 91.45	  3.04	 43.63	 66.17	 74.98	 86.11	 30.96	 72.15	 68.662	 15.93	 89.44	 19.371	 94.979	 63.2710	 57.35	 52.95	 25.22	 46.02	 52.916	 42.38	 56.22	 52.661	 97.459	  2.160	 83.75	 96.10	 40.366	  6.95	 45.96	 90.9958	  8.20	 95.8345	 56.29	 15.780	  9.42	 10.60	 23.05	 93.137	 70.315	 55.481	 95.50	 37.05	 23.277	 15.050	 90.679	 83.279	 45.79	 39.03
Case	 24.16	 26.494	 68.38	  3.2319	 83.32	 68.85591	 27.77	 40.271	 35.179	 88.11	 51.240	 43.960	 44.46	  6.75	 89.673	 53.7509	 83.510	 51.735	 66.01	 25.42	 39.928	 31.934	 77.609	 90.1492	 49.84	 45.5	 77.001	 47.03	 83.57	 58.77	 72.31	 14.50	 66.057	  8.09	 17.97	 91.77	 17.12	 71.00	 55.10	  0.398	 32.14	 73.75	  3.310	 40.22	  3.447	 76.40	 49.86	  6.59	 26.28	 93.94	 81.95	 31.69	 31.25	 17.21	 64.99	 85.57	 42.63	 51.07	  8.13	 44.98	 49.724	 35.14	 47.40	  8.622	 43.753	 78.5393	 44.89	 39.03	 42.59	 19.21	 77.952	 18.67	 36.30	 26.017	 64.457	 88.918	 65.82	 57.16	 37.285	 53.03	 59.37	 13.3585	 73.42	 95.9619	 79.41	 18.585	 24.60	 58.04	 43.70	 88.204	 84.400	 53.545	 50.80	 84.82	 65.581	 72.444	 99.672	 45.083	 71.32	 86.52
Case	 64.41	 55.188	 45.65	 89.0598	 46.40	 20.92481	 70.73	 15.872	 56.411	  2.27	 13.536	 69.627	 73.30	 76.53	 45.805	 86.1107	 61.148	  0.252	 78.47	 98.05	 73.635	 53.914	 14.873	 74.5705	 72.16	 61.4	  6.609	 42.99	 92.21	 31.77	 97.84	 57.21	 73.569	 48.67	 97.44	 84.83	 55.27	 56.41	 35.64	 40.518	  9.06	 25.17	 39.097	 64.07	  1.770	 44.93	 51.88	 84.82	  0.73	 68.95	 59.40	 82.62	 67.51	 77.75	 60.93	 41.04	 88.35	 41.80	 88.76	 15.86	 15.777	 57.66	 14.97	 69.099	 64.347	 70.9468	 70.01	 88.85	 38.61	 48.48	 67.363	 77.45	 97.61	 85.531	 41.327	 26.478	 89.96	 80.32	 63.894	 17.79	 72.96	 40.9679	 64.78	 13.2521	  5.59	 67.704	 59.86	 13.08	 24.45	 75.035	 74.473	 86.174	 28.95	 75.59	 26.384	 98.872	 30.537	 58.843	 92.55	 51.46
Control	 28.08	 91.155	 94.77	 19.8768	 33.60	 87.95494	 55.56	 14.264	 67.783	 51.65	 50.034	 87.229	 30.71	 64.56	 61.832	 30.3283	 38.844	 48.225	 53.91	 22.87	 71.802	 96.414	 45.900	 30.0342	 17.41	 31.0	 36.303	 59.65	 44.41	  4.24	 39.89	 31.82	  1.212	 82.76	 37.29	 29.99	 40.64	 40.73	 43.75	 84.406	 87.62	 51.74	 66.589	  5.94	 24.027	 26.77	 84.93	 55.75	 18.36	 93.88	 94.40	 58.58	 91.79	 87.74	 34.44	  5.98	 38.08	 99.24	 84.80	 48.24	 19.785	 55.80	 29.66	 97.665	 28.425	 38.9200	 67.92	 12.76	 28.86	 13.05	 31.309	 39.24	 31.33	 23.538	 16.726	 41.157	 92.81	 22.56	 89.658	  2.51	 22.10	 80.2524	 88.99	 82.7698	 71.08	 90.150	 89.58	 79.51	 26.09	 41.463	 50.959	 13.950	 59.21	 14.71	  7.498	 35.366	 80.260	 41.365	 74.33	 74.12
Control	 95.76	 10.743	 44.95	 59.0739	 82.09	 51.18533	 48.98	 49.699	 11.631	 68.66	 77.616	 71.592	 25.69	 48.71	 26.894	 21.8602	  9.630	 85.959	 35.70	 18.11	 78.820	 83.356	 54.007	 15.8263	 71.13	 81.0	 29.749	 48.20	 34.23	 44.14	 49.77	 70.19	 36.682	 48.65	  0.31	 29.76	 70.38	 49.10	 40.22	 93.388	 47.74	 75.94	 29.220	 96.49	 45.776	  1.58	 87.28	 85.02	 43.15	 60.43	 72.09	 31.35	 60.91	 92.46	 49.03	 54.46	 51.73	  8.95	 71.07	 44.25	  7.187	 61.44	 76.13	 41.194	  8.120	 97.1820	 64.39	 60.49	 27.03	 48.02	 36.877	  3.18	 40.90	 45.072	 36.747	 79.568	 74.97	 67.11	 58.628	 17.53	 13.21	 32.0521	 46.93	 27.8154	 87.04	 15.482	 42.20	 25.99	 39.69	 19.860	  9.825	 80.973	 10.46	 57.33	 31.061	  2.410	 41.235	 46.605	 54.52	 96.02
Control	 15.84	 95.280	 11.58	 89.5396	 20.28	 13.72439	 30.44	 57.490	 69.342	 11.25	 91.044	  1.121	 52.28	 15.46	 29.164	 77.3645	 51.822	 28.408	 68.12	 63.17	 29.561	 26.343	 52.556	  8.2737	 20.15	 79.8	 25.461	 31.40	 54.56	 34.91	 92.12	 38.03	 31.008	 44.46	 44.54	 23.47	 67.83	 68.15	 76.99	 83.916	 30.47	 63.61	 88.918	  3.10	 36.034	 64.68	 96.76	 97.90	 75.84	 97.06	 55.87	 94.47	 81.10	 37.16	 56.92	 24.38	 44.45	 74.45	 53.56	 85.89	 22.294	 67.90	 78.30	 25.740	 35.686	 71.5615	 43.82	 35.40	  6.44	 97.47	 37.950	 23.74	  7.26	 46.180	  3.561	 73.796	 88.51	 75.61	 68.101	 45.39	 51.61	 68.7638	  0.10	 31.5484	 16.77	 75.739	 98.13	 27.77	 78.44	 29.705	 24.500	 27.017	 28.26	 29.02	 86.272	 13.323	 97.728	 86.660	 75.22	 56.97
Case	 41.83	 58.089	 77.56	 94.5073	 74.35	 46.73244	 77.14	 78.985	  4.176	 57.04	 65.839	 44.503	  7.84	 57.15	 81.114	 18.4998	 21.754	 41.974	 56.26	 65.52	 79.491	  2.266	 52.043	 40.6495	 99.84	 40.8	 63.086	 30.15	 63.27	 25.15	  4.34	 46.82	 75.089	 64.46	 54.92	 64.19	 39.20	 42.10	 92.36	 83.805	 17.74	 20.39	 46.230	 20.84	 29.954	 91.24	 33.59	 78.11	 59.03	 46.95	 78.60	 46.50	 59.44	 28.58	 96.57	 39.23	 12.47	 54.02	 26.60	 59.21	 98.362	 49.91	  5.51	  1.768	 62.697	 29.3164	 87.56	 58.47	 86.30	 85.21	 87.612	 59.78	 65.83	 18.777	 71.979	 90.289	 51.48	 93.98	 89.385	 87.02	 40.62	 46.1125	 75.63	 52.4488	 35.95	 87.137	 21.43	 37.68	 62.79	 43.675	 61.723	 87.681	 71.24	 62.42	 83.213	 92.514	 68.041	 41.238	 29.95	 31.11
Control	 25.20	 87.955	 95.15	  8.8428	 91.92	 24.66822	 56.00	 24.193	 84.613	 52.92	  4.913	 95.079	  7.50	 99.27	 74.652	 37.5571	 76.012	 33.127	 38.24	 58.72	 25.305	  0.012	 70.558	 89.0122	 99.15	 96.6	 83.709	 30.42	 29.76	 60.99	  7.62	 10.21	 54.696	 29.00	 63.94	 84.58	 61.85	 19.22	 81.80	 31.406	 69.45	 99.30	 11.948	 88.67	 52.861	 76.77	 90.88	  6.05	 90.94	 21.67	 97.78	 43.14	 48.13	 85.60	 14.92	 65.80	  6.59	 38.20	 51.59	 33.27	 11.444	  0.86	 60.62	 32.680	 10.438	 81.9132	 61.27	 86.96	 14.47	 47.28	 95.589	 28.45	 87.87	 12.917	 51.339	 68.757	 33.75	 13.35	 85.151	 80.73	 29.48	 16.7220	  3.10	 30.7556	  9.76	 54.538	 90.53	 19.84	 90.67	  8.180	 13.743	 98.144	 64.67	 30.14	 58.600	  4.531	 83.323	 38.795	 98.03	 74.33
Control	  9.44	 80.680	 94.19	 89.4755	 88.48	  1.39130	 82.86	 97.646	 10.503	 26.06	 97.471	  6.005	 43.58	 19.92	 40.016	 50.0899	 10.574	 61.110	 88.68	 43.35	 75.020	 93.766	  6.105	 43.8691	 95.43	 28.8	 36.372	 39.63	 39.20	 89.10	 49.93	 50.15	 97.922	 87.83	 97.04	 51.75	 69.75	 77.41	 41.31	 11.325	 62.96	  0.04	 97.968	 17.13	  5.304	 70.54	 14.38	 10.30	 20.15	 50.78	 55.04	 48.69	 25.93	 85.01	 56.92	  7.57	 21.14	 56.71	  0.15	 24.39	 94.924	 24.25	 98.87	 39.186	 78.667	 71.4120	 59.38	 20.60	 37.60	 60.56	 36.174	  7.18	 82.35	  8.758	  9.651	 37.244	 55.45	 40.35	 28.317	 42.54	 51.78	 96.2684	 31.38	  1.5904	 77.83	 74.132	 80.73	 28.53	 84.34	  3.729	 49.661	 87.840	 91.58	 46.37	 29.477	 25.226	 47.823	  8.350	 95.11	 45.05
Case	 82.77	 50.247	 58.10	 62.6961	 50.68	 32.35934	 67.08	 47.812	 59.865	 39.85	 94.871	 87.694	 89.52	 60.85	 15.776	 80.7826	 70.618	 38.098	 45.63	 84.25	 51.059	 78.750	 50.124	 14.1063	 97.91	  7.8	 98.293	 90.09	 57.00	 99.63	 82.56	 38.94	 77.894	 17.24	 24.20	 38.54	 91.31	 41.25	 41.31	 95.582	 92.27	 20.66	 46.789	 47.96	 45.283	 65.84	 25.24	 68.39	 56.15	  0.42	 10.40	 63.32	 42.68	 16.83	 82.66	 80.59	 65.86	 24.28	 10.77	 49.36	 59.867	 52.62	 99.38	 97.001	 89.786	 51.1116	 80.60	 41.43	 59.79	 68.11	 97.843	 23.69	 26.73	 76.887	 83.652	 62.878	 74.76	 13.86	 24.219	 61.96	 32.50	 41.7607	 62.15	  6.2404	 17.03	 80.968	 11.31	 57.69	 39.97	 34.690	 53.336	 15.417	 75.43	 51.11	 96.398	 71.995	 11.715	 41.759	 93.98	 47.39
Case	 52.53	 83.603	 36.57	  1.6049	 66.19	 30.25506	 53.66	  7.059	 73.568	 72.85	 69.159	 19.889	 83.11	 17.35	  2.915	 89.0305	 58.070	  3.010	 32.98	  0.35	 48.671	 29.836	  8.238	 13.7552	 14.80	 34.1	 85.646	  9.89	 26.90	 44.24	 10.95	 13.22	 53.213	  7.74	 60.11	 99.15	 81.23	 53.31	 70.44	 77.029	 68.95	 63.40	 21.229	 39.83	 56.459	 63.20	 93.21	 57.20	 97.97	 78.17	 90.39	 52.39	 91.49	 37.93	 96.00	 52.27	  5.31	 42.47	 34.98	 14.67	 24.881	 97.21	 75.77	 86.763	 17.684	 50.3181	  2.57	 87.04	 59.59	 69.09	 64.021	 47.65	 43.16	 83.325	 32.719	  7.931	 25.69	 51.77	  2.884	  3.84	 83.67	  6.7735	  9.60	 60.2126	 44.11	 48.321	 66.86	 19.67	 50.65	 47.461	 58.869	 99.612	 94.45	  0.13	 55.874	 90.001	 86.644	 75.630	 19.22	 47.44
Case	 66.77	 90.414	 91.71	 54.7281	 96.77	 27.79694	 43.55	 50.188	 88.082	 60.52	 68.503	 18.891	 66.28	 55.22	  0.451	 63.2614	 78.169	 56.272	 33.27	 53.56	 32.979	 59.644	 45.040	 22.7438	 92.63	  1.8	 37.677	 61.57	 75.18	 44.86	 92.73	 64.45	 64.472	 98.36	 32.28	 50.86	 34.13	  7.63	 24.24	 94.204	  1.25	  1.73	 23.935	 23.18	 57.209	 86.86	 32.18	 84.29	 61.29	  8.50	 85.68	 17.29	 51.78	 58.68	 90.69	 42.02	 32.08	 90.47	 64.61	 83.06	 27.614	 37.83	 91.89	 22.829	  7.782	 53.3807	 37.63	 55.15	 92.55	  9.15	 46.592	 97.59	 56.74	 56.990	  6.471	 80.458	 74.04	 30.12	 36.808	 86.13	 18.18	 60.2120	 41.97	 95.2868	 17.00	 24.311	 94.88	 67.17	 90.77	 94.972	  4.553	 32.595	 97.77	 75.80	 13.870	 49.556	 61.224	 87.557	 52.62	 74.07
Case	 40.83	  0.251	 76.45	  2.9972	 20.38	 56.76583	 26.14	 10.134	 40.670	 40.17	 98.660	 31.628	 25.73	 60.04	 72.357	 59.6790	 17.160	  5.409	 35.91	  8.74	  8.443	 69.948	 64.032	  3.6349	 64.57	  8.7	 10.287	 50.55	 40.79	 55.50	 40.91	 24.07	 62.767	 95.87	 45.79	 91.76	 11.54	 19.11	 96.73	 64.053	 64.01	  2.67	 15.221	 26.92	 84.030	 21.62	 29.34	 85.67	 66.73	 73.78	 98.74	 83.74	 87.75	 13.48	  8.62	 28.26	 91.57	 32.75	 61.74	 90.18	  9.364	 21.77	  4.78	 20.296	 39.082	 54.0196	 53.87	 96.97	 57.78	 57.71	 19.531	 43.83	 68.76	 18.071	  0.277	 63.125	 61.75	 98.93	 86.839	 81.13	 75.52	 11.1914	  4.94	  4.5905	 89.95	 62.405	  8.69	 16.89	 27.72	 80.137	  7.524	 75.034	 28.04	 35.74	 60.560	 37.667	 88.312	 75.991	 77.85	 10.72
Case	 84.26	 46.296	 19.55	 74.2030	 24.62	 76.26630	 83.44	 69.628	 86.558	 91.74	  5.048	 82.774	 54.22	 83.33	  5.275	 95.0499	 49.634	 88.302	 34.76	 90.20	 47.309	 41.607	 43.686	 93.6242	 73.38	 32.3	 26.154	 32.15	 50.34	 33.59	 87.99	 55.25	 70.104	 34.09	 32.57	 88.04	 22.00	 12.29	 42.30	 44.636	 40.20	 60.78	  9.824	 55.55	 13.635	 55.72	  2.57	 90.39	 94.77	 72.00	 45.69	 44.21	 75.39	 66.39	 70.31	 41.25	 10.91	  3.99	 81.25	 43.53	 22.129	 25.52	  0.75	 53.067	 63.492	 15.2814	 25.89	  9.26	 85.81	  5.20	 90.210	 96.65	 97.55	 45.774	 69.937	 96.587	 87.05	 14.43	 47.017	 71.57	 20.81	 49.3440	 55.53	 10.2851	 61.49	 89.261	 72.30	 60.55	 28.86	 88.819	 46.106	 15.469	 79.38	 27.92	 11.856	 73.219	 44.479	 20.742	 84.94	 64.22
Case	 73.73	 19.383	 94.89	 79.8388	 35.78	 47.89564	 88.85	 41.868	 24.406	 99.56	 84.335	 73.806	 43.78	 47.98	  8.228	 98.8565	 46.419	 37.531	 62.17	 52.76	 44.369	 93.152	 44.309	 35.6148	 76.42	 62.5	 46.146	 99.30	 90.20	 76.91	 73.33	 56.70	 18.556	 94.56	 43.97	  1.73	 54.68	 66.37	  0.54	  9.010	 40.09	 57.05	 54.061	 11.17	 71.026	 93.20	  7.91	 29.72	 84.90	 96.14	 83.34	 18.48	 60.92	 70.19	 47.00	 39.92	 44.61	 36.17	 19.04	 61.17	 88.581	  8.12	 51.95	 93.616	 47.127	 91.7914	 20.37	 98.41	 81.37	 45.27	 30.498	 91.94	 12.64	 75.603	 94.736	 72.360	 79.67	 63.41	  9.596	 40.97	 58.35	 91.0563	 50.85	 60.6700	 13.33	 28.049	 88.86	 73.20	 27.78	 14.227	  4.849	 66.705	 55.49	 54.66	 20.645	 39.701	 72.297	 15.181	 85.86	 42.22
Control	 34.82	 12.950	 75.36	 75.2260	 41.34	 43.71987	 25.10	 40.824	 72.861	 57.66	 14.888	 53.890	 53.58	 13.71	 31.620	 70.1975	  6.147	 90.532	 73.32	 72.68	 46.149	  0.905	 75.384	 70.6301	 20.56	  3.9	 11.565	 91.66	 94.68	 47.90	  1.00	 74.90	 51.835	 13.88	 61.73	 52.11	 96.19	 86.49	  9.10	 37.567	  6.25	 24.59	 66.421	  8.19	 88.778	 70.49	 76.94	 30.98	  9.13	 90.30	 65.43	 67.80	 32.63	 97.26	 64.52	 70.91	 48.30	 28.07	 82.07	 78.34	 24.502	 28.09	 54.46	 39.331	 29.732	 13.2942	 37.33	 67.67	 94.39	 38.28	 27.329	 81.65	 55.78	 37.824	 11.807	 25.857	 63.41	 91.13	 47.051	 43.18	 50.19	 93.0860	 70.92	 57.2114	 72.60	 43.948	 98.48	 90.06	 29.58	  5.031	 14.288	  5.649	 85.55	  3.64	 41.280	 10.082	  3.977	 45.339	 51.50	 80.05
